Date,Open,High,Low,Close,Adj Close,Volume
2019-12-09,25.900000,25.950001,23.549999,24.799999,24.799999,2468
2019-12-10,25.400000,25.400000,24.400000,24.400000,24.400000,313
2019-12-11,25.000000,25.000000,23.850000,23.900000,23.900000,519
2019-12-12,23.850000,25.049999,23.850000,25.049999,25.049999,5712
2019-12-13,25.850000,26.150000,24.500000,25.549999,25.549999,7512
2019-12-16,26.750000,26.750000,24.600000,25.650000,25.650000,4324
2019-12-17,26.700001,26.700001,24.900000,25.950001,25.950001,498
2019-12-18,26.500000,26.900000,25.049999,25.500000,25.500000,6464
2019-12-19,26.000000,26.000000,24.549999,25.750000,25.750000,2106
2019-12-20,26.000000,26.250000,25.500000,25.950001,25.950001,16950
2019-12-23,26.500000,26.500000,25.150000,25.950001,25.950001,907
2019-12-24,26.500000,26.500000,25.950001,26.299999,26.299999,18601
2019-12-26,25.250000,26.350000,25.200001,26.000000,26.000000,3231
2019-12-27,26.750000,26.750000,25.250000,25.450001,25.450001,1506
2019-12-30,26.400000,26.400000,25.000000,25.900000,25.900000,5397
2019-12-31,26.299999,26.299999,25.299999,26.000000,26.000000,801
2020-01-01,26.700001,26.700001,25.500000,25.700001,25.700001,105
2020-01-02,26.400000,26.500000,25.000000,26.299999,26.299999,4088
2020-01-03,25.549999,26.799999,25.549999,26.049999,26.049999,514
2020-01-06,26.900000,26.900000,25.000000,25.049999,25.049999,2102
2020-01-07,26.000000,26.250000,25.000000,26.100000,26.100000,3865
2020-01-08,26.750000,26.750000,24.799999,25.100000,25.100000,8172
2020-01-09,25.000000,25.799999,25.000000,25.549999,25.549999,9394
2020-01-10,26.000000,26.450001,25.950001,26.450001,26.450001,6213
2020-01-13,26.850000,27.750000,26.850000,27.750000,27.750000,9478
2020-01-14,29.100000,29.100000,27.100000,29.100000,29.100000,14267
2020-01-15,29.850000,30.500000,28.200001,30.250000,30.250000,12493
2020-01-16,30.950001,30.950001,28.750000,29.100000,29.100000,175
2020-01-17,30.200001,30.200001,28.299999,29.350000,29.350000,3940
2020-01-20,30.700001,30.700001,28.200001,29.049999,29.049999,7277
2020-01-21,29.450001,29.450001,27.950001,29.049999,29.049999,5268
2020-01-22,30.000000,30.250000,27.750000,29.100000,29.100000,8715
2020-01-23,30.299999,30.549999,29.000000,29.500000,29.500000,7211
2020-01-24,29.000000,29.600000,28.750000,28.950001,28.950001,2453
2020-01-27,29.850000,29.850000,28.500000,28.549999,28.549999,5437
2020-01-28,29.900000,29.950001,29.900000,29.950001,29.950001,3355
2020-01-29,31.000000,31.400000,30.650000,31.400000,31.400000,5393
2020-01-30,32.950001,32.950001,30.000000,32.900002,32.900002,26464
2020-01-31,34.250000,34.250000,31.400000,32.200001,32.200001,11732
2020-02-03,31.000000,32.500000,30.250000,30.250000,30.250000,3380
2020-02-04,28.750000,28.750000,28.750000,28.750000,28.750000,2781
2020-02-05,27.350000,30.150000,27.350000,27.350000,27.350000,10654
2020-02-06,29.799999,29.799999,26.850000,26.850000,26.850000,4162
2020-02-07,29.400000,29.400000,26.100000,26.750000,26.750000,1953
2020-02-10,29.250000,29.250000,26.950001,27.350000,27.350000,2853
2020-02-11,28.000000,28.450001,25.000000,26.200001,26.200001,12384
